Citations,Model accessibility
25.0,Open access (unrestricted)
89.0,Unreleased
31.0,Unreleased
85.0,Open access (unrestricted)
151.0,Open access (unrestricted)
633.0,Unreleased
633.0,Unreleased
149.0,Open access (unrestricted)
150.0,Open access (restricted use)
77.0,Open access (unrestricted)
157.0,Open access (restricted use)
633.0,API access
633.0,API access
0.0,API access
111.0,Open access (restricted use)
19.0,Open access (non-commercial)
11.0,Open access (unrestricted)
246.0,Open access (restricted use)
1191.0,Open access (restricted use)
25.0,Open access (unrestricted)
69.0,Open access (restricted use)
13.0,Open access (unrestricted)
536.0,API access
199.0,Unreleased
163.0,Open access (non-commercial)
26.0,Open access (unrestricted)
0.0,API access
377.0,Unreleased
222.0,Open access (restricted use)
101.0,Unreleased
20.0,Open access (unrestricted)
322.0,Open access (restricted use)
7143.0,Open access (restricted use)
7143.0,Open access (restricted use)
0.0,API access
59.0,Unreleased
197.0,Open access (non-commercial)
61.0,Open access (non-commercial)
296.0,Open access (unrestricted)
67.0,Open access (unrestricted)
36.0,Open access (non-commercial)
1182.0,Open access (non-commercial)
883.0,API access
451.0,Open access (restricted use)
547.0,Open access (non-commercial)
69.0,Unreleased
2100.0,Open access (unrestricted)
1458.0,Open access (unrestricted)
493.0,Open access (non-commercial)
3868.0,Open access (unrestricted)
505.0,Unreleased
200.0,Open access (unrestricted)
45.0,Unreleased
1.0,Unreleased
7054.0,API access
0.0,Open access (unrestricted)
209.0,Open access (non-commercial)
8031.0,Open access (non-commercial)
390.0,Unreleased
2574.0,Open access (unrestricted)
2574.0,Open access (unrestricted)
52.0,Open access (non-commercial)
428.0,Unreleased
241.0,Open access (unrestricted)
608.0,Open access (unrestricted)
65.0,Open access (non-commercial)
259.0,Open access (non-commercial)
46.0,Unreleased
569.0,Open access (non-commercial)
471.0,Open access (unrestricted)
62.0,Open access (unrestricted)
434.0,Open access (unrestricted)
1861.0,Open access (restricted use)
242.0,Open access (unrestricted)
0.0,Unreleased
242.0,Open access (unrestricted)
629.0,API access
378.0,Open access (non-commercial)
57.0,Unreleased
381.0,Unreleased
2366.0,Open access (unrestricted)
2366.0,Unreleased
30.0,Open access (non-commercial)
291.0,Open access (unrestricted)
2043.0,Open access (unrestricted)
532.0,Unreleased
542.0,Unreleased
206.0,Open access (non-commercial)
946.0,Open access (non-commercial)
73.0,API access
636.0,Open access (unrestricted)
844.0,Open access (unrestricted)
171.0,Open access (unrestricted)
542.0,Unreleased
179.0,Open access (unrestricted)
827.0,Unreleased
1016.0,Unreleased
52.0,Unreleased
334.0,Open access (unrestricted)
129.0,Open access (unrestricted)
4291.0,API access
634.0,Unreleased
240.0,Open access (unrestricted)
2763.0,Open access (non-commercial)
2312.0,Unreleased
11.0,Unreleased
9848.0,Open access (restricted use)
32.0,Open access (non-commercial)
4789.0,Unreleased
1373.0,Unreleased
13.0,Unreleased
638.0,Open access (non-commercial)
148.0,Unreleased
98.0,Unreleased
1333.0,Unreleased
655.0,Open access (unrestricted)
761.0,Unreleased
955.0,Unreleased
678.0,Open access (unrestricted)
452.0,Open access (unrestricted)
66.0,Hosted access (no API)
221.0,Open access (non-commercial)
9848.0,Open access (unrestricted)
532.0,Open access (non-commercial)
247.0,Open access (unrestricted)
559.0,Unreleased
1071.0,Unreleased
11.0,Unreleased
252.0,Unreleased
737.0,Unreleased
164.0,Unreleased
1290.0,Open access (unrestricted)
5598.0,Open access (non-commercial)
1154.0,Open access (unrestricted)
931.0,Open access (unrestricted)
397.0,Unreleased
35.0,Open access (unrestricted)
1475.0,Open access (unrestricted)
47.0,API access
636.0,Unreleased
1687.0,Open access (unrestricted)
226.0,Open access (unrestricted)
56.0,Open access (unrestricted)
19.0,Unreleased
2808.0,Unreleased
98.0,Open access (unrestricted)
449.0,Open access (unrestricted)
55.0,API access
3207.0,Open access (unrestricted)
236.0,Open access (non-commercial)
2116.0,Open access (unrestricted)
162.0,Unreleased
3533.0,API access
333.0,Open access (unrestricted)
373.0,Unreleased
1960.0,Open access (unrestricted)
10780.0,Open access (unrestricted)
2887.0,Unreleased
2146.0,Open access (unrestricted)
136.0,Open access (unrestricted)
959.0,Unreleased
879.0,Unreleased
369.0,Open access (unrestricted)
5734.0,Open access (unrestricted)
596.0,Open access (unrestricted)
501.0,Unreleased
5178.0,Open access (non-commercial)
396.0,Open access (unrestricted)
4310.0,Open access (unrestricted)
0.0,Hosted access (no API)
76.0,Unreleased
582.0,Unreleased
42.0,Open access (unrestricted)
413.0,Open access (unrestricted)
2.0,Unreleased
5493.0,Open access (unrestricted)
1529.0,Open access (unrestricted)
3802.0,API access
18887.0,Open access (unrestricted)
46.0,Open access (unrestricted)
15.0,Unreleased
105.0,Open access (unrestricted)
1609.0,Open access (unrestricted)
103.0,Open access (unrestricted)
20426.0,Open access (unrestricted)
552.0,Unreleased
4417.0,Open access (unrestricted)
28240.0,Open access (unrestricted)
238.0,Open access (unrestricted)
238.0,Open access (unrestricted)
2022.0,Open access (unrestricted)
290.0,Unreleased
601.0,Open access (unrestricted)
117.0,Open access (non-commercial)
98.0,Unreleased
4701.0,Open access (unrestricted)
327.0,Open access (unrestricted)
405.0,Open access (unrestricted)
829.0,Unreleased
1310.0,Open access (unrestricted)
1310.0,Open access (unrestricted)
30858.0,API access
10201.0,Open access (unrestricted)
3123.0,Open access (unrestricted)
2558.0,Unreleased
233.0,Unreleased
12.0,Unreleased
657.0,Unreleased
657.0,Open access (unrestricted)
1137.0,Open access (unrestricted)
305.0,Unreleased
951.0,Open access (unrestricted)
479.0,Unreleased
242.0,Unreleased
2968.0,Open access (unrestricted)
60.0,Open access (unrestricted)
506.0,Open access (unrestricted)
78.0,Unreleased
35.0,Unreleased
41.0,Unreleased
114.0,Unreleased
15538.0,Open access (unrestricted)
5809.0,Open access (unrestricted)
28.0,Unreleased
491.0,Unreleased
184.0,Open access (unrestricted)
867.0,Unreleased
221.0,Unreleased
2773.0,Unreleased
1082.0,Unreleased
401.0,Unreleased
1591.0,Unreleased
1591.0,Unreleased
15.0,Unreleased
1517.0,Open access (non-commercial)
22.0,Unreleased
290.0,Open access (unrestricted)
237.0,Open access (unrestricted)
1723.0,Unreleased
10392.0,Open access (non-commercial)
2177.0,Unreleased
80.0,Unreleased
990.0,Open access (unrestricted)
5499.0,Open access (non-commercial)
690.0,Unreleased
3229.0,Unreleased
9216.0,Open access (unrestricted)
15986.0,Open access (unrestricted)
15986.0,Open access (unrestricted)
6160.0,Open access (unrestricted)
91.0,Unreleased
5809.0,Open access (unrestricted)
531.0,Open access (unrestricted)
1442.0,Unreleased
1442.0,Unreleased
2393.0,Unreleased
109.0,Unreleased
1.0,Unreleased
645.0,Unreleased
519.0,Open access (unrestricted)
20965.0,Open access (unrestricted)
149.0,Unreleased
398.0,Unreleased
44.0,Open access (non-commercial)
115.0,Unreleased
405.0,Open access (non-commercial)
2.0,Unreleased
110.0,Open access (non-commercial)
12.0,Unreleased
1348.0,Open access (unrestricted)
7672.0,Open access (unrestricted)
2547.0,Open access (non-commercial)
629.0,Unreleased
2757.0,Open access (unrestricted)
2757.0,Open access (unrestricted)
14942.0,Open access (unrestricted)
491.0,Unreleased
7.0,Open access (unrestricted)
432.0,Open access (non-commercial)
432.0,Open access (non-commercial)
695.0,Unreleased
4547.0,Open access (unrestricted)
110.0,Unreleased
3144.0,Unreleased
40.0,Unreleased
5.0,Unreleased
24.0,Unreleased
196.0,Open access (unrestricted)
2945.0,Unreleased
2808.0,Open access (unrestricted)
520.0,Unreleased
82.0,Open access (unrestricted)
1806.0,Open access (unrestricted)
18461.0,Open access (unrestricted)
229.0,Unreleased
1217.0,Open access (unrestricted)
3354.0,Open access (unrestricted)
2061.0,Open access (unrestricted)
396.0,Unreleased
6.0,Unreleased
2.0,Unreleased
357.0,Unreleased
357.0,Unreleased
17.0,Unreleased
138.0,Unreleased
81681.0,Open access (unrestricted)
360.0,Open access (unrestricted)
4832.0,Open access (unrestricted)
3.0,Unreleased
152.0,Unreleased
293.0,Unreleased
36.0,Open access (unrestricted)
1155.0,Open access (unrestricted)
6.0,Unreleased
90.0,Open access (unrestricted)
90.0,Open access (unrestricted)
672.0,Unreleased
672.0,Unreleased
1442.0,Unreleased
3991.0,Unreleased
235.0,Unreleased
9710.0,Open access (unrestricted)
12.0,Unreleased
26.0,Unreleased
1287.0,Open access (non-commercial)
18916.0,Unreleased
46.0,Unreleased
183.0,Unreleased
4024.0,Open access (unrestricted)
2760.0,Unreleased
1455.0,Unreleased
2793.0,Unreleased
4.0,Unreleased
1940.0,Open access (unrestricted)
1562.0,Unreleased
1280.0,Unreleased
358.0,Unreleased
55.0,Unreleased
121.0,Unreleased
8692.0,Unreleased
7.0,Unreleased
130.0,Unreleased
146.0,Unreleased
718.0,Open access (unrestricted)
4.0,Unreleased
6.0,Unreleased
1176.0,Unreleased
555.0,Unreleased
840.0,Unreleased
104993.0,Unreleased
11032.0,Unreleased
1914.0,Unreleased
97.0,Unreleased
8692.0,Unreleased
14209.0,Open access (non-commercial)
2176.0,Unreleased
8234.0,Unreleased
5051.0,Unreleased
2246.0,Open access (unrestricted)
397.0,Unreleased
2204.0,Unreleased
2204.0,Unreleased
6439.0,Hosted access (no API)
9514.0,Unreleased
493.0,Unreleased
77.0,Unreleased
15882.0,Unreleased
1838.0,Unreleased
39468.0,Open access (unrestricted)
15882.0,Unreleased
2033.0,Unreleased
2153.0,Unreleased
2207.0,Unreleased
55711.0,Open access (unrestricted)
33.0,Unreleased
8305.0,Unreleased
3224.0,Unreleased
37539.0,Unreleased
102.0,Unreleased
1255.0,Unreleased
4734.0,Unreleased
716.0,Unreleased
2503.0,Unreleased
7411.0,Unreleased
7411.0,Unreleased
7411.0,Unreleased
7411.0,Unreleased
1297.0,Unreleased
3512.0,Unreleased
1417.0,Unreleased
1992.0,Unreleased
