Organization,API access,Hosted access (no API),Open access (non-commercial),Open access (restricted use),Open access (unrestricted),Unreleased
Facebook AI Research,0.0,0.0,1.0,0.0,3.0,2.0
Google,1.0,1.0,0.0,0.0,10.0,15.0
Google Brain,1.0,0.0,0.0,0.0,2.0,7.0
Google DeepMind,3.0,0.0,0.0,0.0,3.0,29.0
Massachusetts Institute of Technology (MIT),0.0,0.0,0.0,0.0,2.0,1.0
Meta AI,0.0,0.0,6.0,5.0,3.0,1.0
Microsoft,0.0,0.0,0.0,0.0,2.0,4.0
OpenAI,10.0,0.0,1.0,0.0,6.0,4.0
Stanford University,0.0,0.0,0.0,0.0,1.0,3.0
University of Toronto,0.0,0.0,0.0,0.0,0.0,7.0
